step,accuracy,params,nonzero_params,sparsity,checkpoint_mb,onnx_mb,dense_mflops,active_mflops_est
baseline,,945125,945125,0.0,3.7336606979370117,3.6184825897216797,109.828992,109.828992
structured_prune,,945125,713475,0.24509985451659833,3.7336606979370117,3.6184825897216797,109.828992,82.373408
